doc_id,title,source_url,file_path,doc_type,date_accessed
MA001,MA Report a Motor Vehicle Crash,https://www.mass.gov/how-to/report-a-motor-vehicle-crash,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA001.pdf,pdf,2026-01-12
MA002,MA Crash Operator Report Form (PDF),https://www.mass.gov/doc/motor-vehicle-crash-operator-report/download,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA002.pdf,pdf,2026-01-12
MA003,MA DMV Crash Report FAQs,https://braintreepd.org/FAQ.aspx?QID=70,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA003.pdf,pdf,2026-01-12
MA004,What to Do After Car Accident in MA,https://callkellycall4.com/blog/what-to-do-after-a-car-accident-in-massachusetts,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA004.pdf,pdf,2026-01-12
MA005,MA Car Accident Reports Explained,https://www.brandonjbroderick.com/massachusetts/massachusetts-car-accident-reports-what-know,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA005.pdf,pdf,2026-01-12
MA006,MA Auto Insurance Claims FAQs,https://www.mass.gov/info-details/frequently-asked-questions-about-auto-insurance-claims,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA006.pdf,pdf,2026-01-12
MA007,How to Handle Insurance After MA Accident,https://www.brandonjbroderick.com/massachusetts/how-handle-insurance-after-car-accident-massachusetts,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA007.pdf,pdf,2026-01-12
MA008,MA General Law Chapter90 Section26,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXIV/Chapter90/Section26,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA008.html,html,2026-01-12
MA009,MA Insurance Complaint Process,https://www.mass.gov/how-to/filing-an-insurance-complaint,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA009.pdf,pdf,2026-01-12
MA010,MA Division of Insurance Overview,https://www.mass.gov/orgs/division-of-insurance,/content/drive/MyDrive/ba840-ma-claims-bot data /data/docs/MA010.pdf,pdf,2026-01-12
